全体の雰囲気,特徴キーワード,キャスト情報,該当キャストのプロフ本文
清楚・可憐,"清楚, 巨乳, 美肌, おっとり, 完全未経験",（18）T:162 B:90(F) W:58 H:86,【ほんわか安らぎ × ときどき覗く“いやらしさ”】\n【美肌＆Fカップ美巨乳の包容】\n【ロリカワの奥で灯る“大人”の余白】\n\n第一印象は、ほんわかかと安らぐ空気。笑顔はやわらかく、言葉遣いは丁寧。\n人当たりの良さが最初の緊張を解き、ふたりの距離を自然に近づけてくれる。\n\nけれど、その穏やかさの奥には──思わず息を呑む美肌と、丸みを美しく描くFカップ。\nロリカワの印象に油断していると、ふと滲む“大人”の艶。\n視線の温度、間合いの取り方、指先のしつけ方──主導権は、いつのまにか彼女の手元へ。\n\n貴方の反応に合わせて圧やリズムを繊細に整え、気持ちよさを少しずつ積み上げていく。\n清楚でやさしい。なのに、時折みせる大人の色気が確かに貴方を翻弄する。
清楚・可憐,"清楚, 癒し系, おっとり",（18）T:158 B:86(C) W:57 H:85,【清楚な微笑み、蜜の本性】\n【心をくすぐる“甘サド”な快感】\n【不思議な安心感と快感の融合】\n\n一見すると、穏やかで控えめ。清楚で上品な癒し系。\n柔らかな物腰とおっとりとした口調には、どこか奥ゆかしさすら感じさせる。\n穏やかな春風のようなその雰囲気は、まさに「品の良い良家のお嬢様」。\n\n──けれど、その印象はゆっくりと、静かに崩れていく。\n優しさの奥に潜んでいたのは、想像もしなかった甘く官能的なエロスの一面。\n柔らかな声で放たれる“甘サド”な快感は、貴方の心の奥にしまっていた最も敏感な部分に、じわじわと熱を落としていく。\n\n気づけば、本能から甘えてしまっているのは貴方のほう。\n心の芯に、ほんのりとした優しい熱が残っているはずです。\nその熱は、決してすぐには消えません。\nむしろそれこそが、貴方が彼女に魅了された証。
清楚・可憐,"清楚, 愛嬌抜群, テクニシャン",（23）T:157 B:86(C) W:57 H:85,【清楚・愛嬌・美乳 3拍子揃う美女】\n【品と愛嬌を併せ持った清楚系美人】\n【テクニックにも期待大】\n\n小柄で愛らしいボディから放たれる上品なオーラと、にこっと微笑むその愛嬌が絶妙にマッチ。\n一度会えば、誰もが彼女の虜になってしまう、そんな特別な魅力の持ち主です。\n\n品のある立ち振る舞いと、親しみやすい愛嬌を兼ね備えた清楚系美人。\nCカップ美乳は形も質感も申し分なく、華奢なウエストと女性らしいヒップが織りなすシルエットは、まさに洗練された美そのもの。\n\n見た目だけじゃない、彼女の真骨頂は「テクニック」にもあります。\n丁寧で繊細な彼女の手さばきに、心も体も完全に委ねたくなる…そんな至福の瞬間が待っています。
清楚・可憐,"清楚, 巨乳, 完全未経験, おっとり",（19）T:155 B:92(F) W:59 H:89,【完全業界未経験】\n【清楚系Fカップ美巨乳】\n【癒しの時間を貴方と共に】\n\n守ってあげたくなるような清楚な佇まいと、\nおっとりとした癒し系の雰囲気を纏った彼女。\nその清純な外見からは想像もつかない、\n豊かなFカップ美巨乳が貴方を優しく包み込みます。\n\n完全業界未経験だからこそ味わえる、\n瑞々しい感触と初々しい反応。\n一つひとつの所作に一生懸命な彼女の姿に、\n貴方の心はいつの間にか解きほぐされているはずです。\n\n清楚な彼女が魅せる、まだ誰にも染められていない「素」の輝き。\nふたりきりの空間で、彼女の体温と鼓動を\n心ゆくまで感じてみませんか？
清楚・可憐,"清楚, 巨乳, 美肌, おっとり, 完全未経験",（23）T:153 B:90(E) W:58 H:85,【小柄巨乳の新星】\n【心までほぐれる“やさしいエロス”】\n【業界完全未経験】\n\n153cmの小さなカラダに、ふわっと存在感を放つ柔らかなEカップバスト。\n一目で「可愛い！」と感じる無邪気な笑顔と、触れた瞬間にわかる、思わず抱きしめたくなるような心地よいぬくもり。\n\nそんな彼女は、まだ何も知らない完全未経験。\nでも、戸惑いながらも懸命に応えようとするその姿勢が、胸の奥をじんわりと温かくしてくれる。\n未経験らしい不器用さの中にも、「喜んでもらいたい」──そんなまっっすぐな想いがにじみ出るような仕草に、自然と心を委ねたくなるはずです。
清楚・可憐,"清楚, 完全未経験, エッチ好き, 恥ずかしがり屋",（20）T:159 B:85(C) W:59 H:89,【恥ずかしがり屋だけどエッチに興味津々】\n【礼嬌正しく笑顔が素敵な王道清楚系】\n【もちろん完全業界未経験】\n\n第一印象は、礼儀正しく笑顔がとても素敵な、まさに王道清楚系。\n柔らかな物腰と丁寧な受け答えに、誰もが安心感を抱くことでしょう。\n\nけれど、その奥に潜むのは──恥ずかしがり屋でありながら、エッチなことには強く興味を寄せるもう一つの顔。\n見た目の清楚さとは裏腹に、「してあげたい」という気持ちが先に動くタイプ。\n完全業界未経験という初々しさと、内に秘めた好奇心。\nそして「相手を満たしたい」という優しい衝動が同居する彼女との時間は、甘く心に残る特別なひとときとなるはずです。
天真爛漫・愛嬌,"可愛い系, 巨乳, 愛嬌抜群",（20）T:157 B:87(F) W:57 H:85,【ゆるふわの裏に潜む甘サドな誘惑】\n【包み込まれる柔らかな温もり】\n【しなやかに弧を描くFカップ美巨乳】\n\n扉を開けた瞬間、フワッと音が聞えるような柔らかい空気をまとった彼女が微笑む。\n小柄ながらメリハリのあるスタイルと少し潤んだ瞳に上目遣いされながら、ふと気づく距離感。\n日常では決して得られず、でも欲してやまない境界線、まるで相手をじっくり品定めするかのような甘サドな視線。\n\n「ねぇ、どんなふうにされるのが好き？」\n\n柔らかく甘い声でそう囁かれると、心の奥まで見透かされている気がして心臓が高鳴る。\nすぐにグッと詰まる距離。寄り添うような温度感とは裏腹に、徐々に帯びていく熱。
都会的・洗練,"綺麗系, スレンダー, 巨乳, スタイル抜群",（22）T:172 B:88(F) W:57 H:85,【高身長×Fカップ巨乳×スレンダー】\n【スタイル重視の方はドハマり間違いなし】\n【落ち着いた美人でサービスも期待◎】\n\n街ですれ違えば、つい目で追ってしまうだろうすらりと伸びる美脚としなやかな肢体を持つ、高身長の彼女。\nまとう空気は上品で、落ち着いた大人の余裕を感じさせる。\nFカップの美巨乳 × スレンダーなシルエット──その組み合わせはまさに奇跡的なバランス。\n\nゆったりとした動きに滲む品の良さ、凛とした美しい立ち姿。\nそれなのに、どこか親しみやすい空気を纏っているのが魅力的だ。\n柔らかく微笑むその表情には、無邪気さと、ふと甘く誘うような色気が見え隠れする。
親近感・ナチュラル,"可愛い系, 巨嬌抜群",（18）T:158 B:85(D) W:58 H:84,【笑顔で魅了するハイスペック美少女】\n【リピーター様続出中！】\n【愛嬌◎サービス精神◎】\n\n幼さ残るあどけない笑顔。礼儀正しく愛嬌もバッチリ。\n均整の取れた身体にDカップの美乳。\nサービス精神も旺盛な彼女は世の男性を魅了する材料をすべて持ち合わせたハイスペック美少女。\n\n密着したゼロ距離で、甘い声にささやかれたら、、\n気付いた時には延長しているかも、、。\n池袋で遊ぶならぜひ一度は会ってほしい女の子です。
親近感・ナチュラル,"可愛い系, 巨乳, 愛嬌抜群, テクニシャン",（20）T:158 B:87(E) W:58 H:86,【可愛いと美人の両立！愛嬌抜群】\n【細身グラマーEカップ】\n【テクニックにも期待♪】\n\nかわいい系のお顔ですが、落ち着いたお姉さんのような雰囲気も両立した女の子。\n天性の明るさで話していると職場の気さくな後輩のよう。\nしかし、いざプレイになるとグラマーボディ and 魅惑のタッチで積極的に責めてくる妖艶な一面。\n\nすぐまた会いたくなる魅力満載。\nまずは一度ぜひお問い合わせください。
親近感・ナチュラル,"清楚, スレンダー, 完全未経験, モデル系",（19）T:160 B:83(B) W:56 H:85,【業界経験はおろか、男性経験すら!?】\n【心が震える“ピュアの化身”】\n【儚く甘い奇跡】\n\n触れるたび、心が震える“ピュアの化身”。\n一瞬で伝わるのは、守りたくなるような透明感と、触れるのがためらわれるほどのピュアさ。\n彼女は、業界経験はおろか、男性経験すら!?な、まっさらな存在。\nまだ何も知らない──けれど、その奥には「喜んでもらいたい」という真っ直ぐで一生懸命な想いがそっと宿っている。\n\n緊張と戸惑いを滲ませながら、でも、少しずつ距離を縮めてくる彼女の姿に、「この子の最初を、大切にしたい」と思わずにはいられません。\nそのすべてが、きっと貴方にとっても忘れられない記憶になる。
都会的・洗練,"綺麗系, スレンダー, スタイル抜群, モデル系",（24）T:165 B:85(D) W:58 H:86,【モデル体型×圧倒的美貌】\n【都会的で洗練されたオーラ】\n【凛とした佇まいに潜む、特別な隙】\n\n凛としたモデル体型から放たれる、圧倒的な美。\n彼女が部屋に足を踏み入れた瞬間、空気が一変するような、洗練されたオーラを感じるはずです。\n165cmのすらりとした長身と、無駄のないしなやかなライン。\nその完璧な美しさに、誰もがため息を漏らさずにはいられません。\n\n都会的でクールな印象を与える端正な顔立ち。\nしかし、ふとした瞬間にこぼれる柔らかな微笑みは、彼女が貴方だけに許した特別な「隙」の証です。\n上品な立ち振る舞いの中に、どこか守ってあげたくなるような繊細さが同居し、\nその二面性が、貴方の独占欲を静かに、しかし激しく掻き立てます。\n\n知的な瞳の奥に宿る、好奇心と優しさ。\n一見、高嶺の花のように見えても、言葉を交わせば驚くほど素直で、温かな心に触れることができるでしょう。\nその心地よい緊張感と、心が解きほぐされるような至福のひととき。\n\n特別な夜を彩る、唯一無二の存在感。\n最高級の美しさと、彼女が織りなす極上の時間を、心ゆくまでご堪能ください。
妖艶・色香,"綺麗系, お姉さん系, 巨乳, グラマー",（28）T:160 B:92(F) W:62 H:90,【成熟した大人の色香】\n【抗えない官能の曲線】\n【夜に咲く、艶やかな華】\n\n成熟した女性だけが持つ、深く艶やかな美しさ。\n彼女の視線が重なるたび、本能が静かに目を覚ますのを感じるはずです。\nFカップの豊潤なバストと、引き締まったウエストが描く圧倒的なコントラスト。\n\nその肉体は、まさに「隠れグラマラス」を体現する極上のライン。\n服の上からは想像もつかないほどの熱量と、吸い付くような肌の質感が、貴方の感覚を麻痺させていきます。\n一歩踏み込むたびに深まる、芳醇な香りのような官能の世界。\n\n酸いも甘いも噛み分けた、大人の余裕と優しさ。\n貴方の望みを静かに汲み取り、最高の悦びへと誘う手練。\n彼女との刻は、日常を忘れさせるほどの濃密な熱気に満ちています。\n\n理性さえも溶けていく、禁断のひととき。\n彼女が解き放つ、究極の色香に身を委ねてみてください。
天真爛漫・愛嬌,"愛嬌抜群, 癒し系",（21）T:155 B:84(D) W:58 H:85,【弾ける笑顔のビタミン剤】\n【アイドル級の愛くるしさ】\n【元気と癒しのハイブリッド】\n\nひまわりのように明るい笑顔で、一瞬にして心を晴れやかにしてくれる彼女。\n屈託のない笑い声と、愛くるしい表情は、まさに「天真爛漫」そのもの。\n彼女の隣にいるだけで、不思議と力が湧いてくるのを感じるでしょう。\n\n小柄でバランスの取れたボディに、意外なほどの存在感を放つDカップ。\n元気いっぱいに動き回るたび、その瑞々しい曲線が躍動し、貴方の目を釘付けにします。\n健康的でありながら、ふとした瞬間に見せる「女の子」としての恥じらい。\n\n計算のない純粋なアプローチに、思わず頬が緩んでしまう。\n貴方を心から楽しませようとする健気な姿勢が、愛おしさを倍増させます。\n気を張らずに過ごせる、親友のような、それでいて恋人のような特別な距離感。\n\n心が洗われるような、フレッシュなときめき。\n彼女と一緒に、笑顔溢れる最高の時間を過ごしてみませんか？
親近感・ナチュラル,"清楚, 癒し系, 聞き上手",（23）T:158 B:83(C) W:59 H:86,【隣にいてほしい、理想の彼女感】\n【飾り気のない美しさ】\n【心が解ける、素直な対話】\n\nまるで昔からの知り合いだったような、不思議な安心感を与えてくれる彼女。\n派手さはないけれど、ずっと見つめていたくなるような、ナチュラルで清潔感溢れる佇まい。\nその自然体な魅力に、貴方の心の鎧はいつの間にか脱ぎ捨てられているはずです。\n\nしなやかで細身なシルエットと、温かな肌のぬくもり。\n華奢な肩のラインは、思わず抱きしめたくなるような儚さを感じさせます。\n過度な装飾のない「素」の美しさが、ふたりきりの刻をよりリアルで贅沢なものに変えていきます。\n\n彼女の最大の魅力は、貴方のどんな話も笑顔で受け止める「聞き上手」な一面。\n何気ない会話が、彼女の温かな相槌によって特別な物語へと変わっていく。\n着飾らない言葉で、心と心が通じ合う感覚。\n\n穏やかで心地よい、凪のような時間。\n彼女とのひとときで、明日への活力をそっとチャージしてください。
都会的・洗練,"綺麗系, スタイル抜群, スレンダー",（24）T:165 B:85(D) W:58 H:86,【都会的な佇まいに秘めたる熱量】\n【凛とした美しさが安らぎに変わる場所】\n\n都会の洗練されたオーラを纏い、一際目を引くクールな美貌。\n165cmのすらりとした長身と、しなやかなボディライン。\nその美しさは一見クールに見えますが、\n言葉を交わせば驚くほど穏やかで、思慮深い優しさに溢れていることに気づくでしょう。\n\n知的な瞳の奥に宿る、好奇心と優しさ。\n一見、高嶺の花のように見えても、\nふたりきりの刻には驚くほど大胆に自分を解放する一面。\nそのギャップこそが、彼女が隠し持つ最大の武器です。\n\n都会の喧騒を忘れ、彼女の魔力に溺れる夜。\n最高にスリリングで、最高に甘美な時間を約束します。
都会的・洗練,"綺麗系, お姉さん系, 完全未経験, スタイル抜群",（24）T:165 B:85(D) W:58 H:86,【モデル系美女の覚醒前夜】\n【クールな外見と甘い素顔の共鳴】\n\n凛とした佇まいに潜む、成熟した女性だけが持つ深い艶。\n165cmの均整の取れたスタイルは、まさに都会の夜に咲く一輪の華。\nその完璧な美しさに、誰もがため息を漏らさずにはいられません。\n\n初対面ではややクールな印象を受けるかもしれません。\nけれど会話が始まると、ふわりと笑う姿に最初に抱いた疑念は一瞬で崩れます。\n明るく、よく笑い、おっとりした口調で話すその姿に、誰もがほっとするはず。そしてそのギャップが、たまらない。\n\nそしてもうひとつの魅力が、完全未経験というピュアさ。\n近寄りがたいはずの美しさが、一気に距離を縮めてくる。\n「目の前の人に喜んでもらいたい」という純粋な気持ちと、\n持ち前の真面目さで、ひとつひとつの時間を丁寧に大切にしてくれます。\n戸惑いながらも、相手の反応を一生懸命に探るその姿に、\n「教えてあげたい」気持ちと、「支配されたい」欲が入り混じる、絶妙な快感の揺らぎ。\n触れたときのしなやかなライン、思わず指を這わせたくなる美しいくびれ。\n回を重ねるごとに、彼女の中に眠っていた本能が、少しずつ目を覚ましていく。\n最初は戸惑いがちだったはずの仕草が、だんだんと艶っぽく、甘く、濃密に変化していく。\nその瞳が揺れ、吐息が熱を帯び、\n何も知らなかったはずの彼女が、いつの間にかあなたを惑わせる存在に変わっていく──\nクールなのに、甘くて柔らかい。\nおっとりしているのに、どこかエロティック。\n今この瞬間にしか味わえない、“覚醒前夜”の彼女に、\nあなたはもう抗えないはずです。
天真爛漫・愛嬌,"可愛い系, 愛嬌抜群",（19）T:155 B:84(C) W:58 H:84,【無邪気な笑顔の小悪魔天使】\n【弾ける若さと瑞々しい感触】\n\n19歳という瑞々しさが放つ、圧倒的なフレッシュさ。\nアイドルグループにいてもおかしくないほどの愛くるしいルックスは、まさに動くビタミン剤です。\n小柄な身体に宿る、健康的なバストの生命力。\n天真爛漫に笑い、楽しそうに話す彼女の姿に、思わずこちらまで笑顔がこぼれます。\n計算のない純粋な反応の一つひとつが、貴方の守ってあげたい本能を激しく揺さぶります。
